ASSAY,STRAIN,CONDITION,BACKGROUND,ROUND,DAY,PLATE,REP,STACK.ORDER,FLOW.RUN,BLOCK,ROW,COLUMN,WELL,POSITION,FILENAMES
RNR1,RNR1.P1.D11,EMS,Y1913,2,09272016,P1,R1,1,1,ABCD,D,11,D11,D11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D11.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,1,ABCD,D,12,D12,D12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.ABCD/Well_D12.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,E,1,E1,E01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E01.fcs
RNR1,RNR1.P1.E2,EMS.LOW,Y1913,2,09272016,P1,R1,1,2,EFGH,E,2,E2,E02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E02.fcs
RNR1,RNR1.P1.E3,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,E,3,E3,E03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E03.fcs
RNR1,RNR1.P1.E4,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,E,4,E4,E04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E04.fcs
RNR1,RNR1.P1.E5,EMS.HIGH,Y1913,2,09272016,P1,R1,1,2,EFGH,E,5,E5,E05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E05.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,E,6,E6,E06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E06.fcs
RNR1,RNR1.SHAM.P1.E7,SHAM,Y1913,2,09272016,P1,R1,1,2,EFGH,E,7,E7,E07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E07.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,E,8,E8,E08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E08.fcs
RNR1,RNR1.P1.E9,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,E,9,E9,E09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E09.fcs
RNR1,RNR1.P1.E10,EMS.HIGH,Y1913,2,09272016,P1,R1,1,2,EFGH,E,10,E10,E10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E10.fcs
RNR1,TDH3.SHAM.P1.E11,TDH3.SHAM,Y1139,2,09272016,P1,R1,1,2,EFGH,E,11,E11,E11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E11.fcs
RNR1,RNR1.P1.E12,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,E,12,E12,E12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_E12.fcs
RNR1,RNR1.P1.F1,EMS.HIGH,Y1913,2,09272016,P1,R1,1,2,EFGH,F,1,F1,F01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F01.fcs
RNR1,TDH3.SHAM.P1.F2,TDH3.SHAM,Y1139,2,09272016,P1,R1,1,2,EFGH,F,2,F2,F02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F02.fcs
RNR1,RNR1.P1.F3,EMS.LOW,Y1913,2,09272016,P1,R1,1,2,EFGH,F,3,F3,F03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F03.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,F,4,F4,F04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F04.fcs
RNR1,RNR1.P1.F5,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,F,5,F5,F05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F05.fcs
RNR1,RNR1.P1.F6,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,F,6,F6,F06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F06.fcs
RNR1,RNR1.P1.F7,EMS.LOW,Y1913,2,09272016,P1,R1,1,2,EFGH,F,7,F7,F07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F07.fcs
RNR1,RNR1.P1.F8,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,F,8,F8,F08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F08.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,F,9,F9,F09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F09.fcs
RNR1,RNR1.SHAM.P1.F10,SHAM,Y1913,2,09272016,P1,R1,1,2,EFGH,F,10,F10,F10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F10.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,F,11,F11,F11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F11.fcs
RNR1,RNR1.P1.F12,EMS.HIGH,Y1913,2,09272016,P1,R1,1,2,EFGH,F,12,F12,F12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_F12.fcs
RNR1,RNR1.P1.G1,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,G,1,G1,G01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G01.fcs
RNR1,RNR1.P1.G2,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,G,2,G2,G02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G02.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,G,3,G3,G03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G03.fcs
RNR1,RNR1.SHAM.P1.G4,SHAM,Y1913,2,09272016,P1,R1,1,2,EFGH,G,4,G4,G04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G04.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,G,5,G5,G05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G05.fcs
RNR1,RNR1.P1.G6,EMS.HIGH,Y1913,2,09272016,P1,R1,1,2,EFGH,G,6,G6,G06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G06.fcs
RNR1,RNR1.P1.G7,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,G,7,G7,G07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G07.fcs
RNR1,RNR1.P1.G8,EMS.HIGH,Y1913,2,09272016,P1,R1,1,2,EFGH,G,8,G8,G08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G08.fcs
RNR1,TDH3.SHAM.P1.G9,TDH3.SHAM,Y1139,2,09272016,P1,R1,1,2,EFGH,G,9,G9,G09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G09.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,G,10,G10,G10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G10.fcs
RNR1,RNR1.P1.G11,EMS.LOW,Y1913,2,09272016,P1,R1,1,2,EFGH,G,11,G11,G11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G11.fcs
RNR1,RNR1.P1.G12,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,G,12,G12,G12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_G12.fcs
RNR1,RNR1.P1.H1,EMS.LOW,Y1913,2,09272016,P1,R1,1,2,EFGH,H,1,H1,H01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H01.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,H,2,H2,H02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H02.fcs
RNR1,RNR1.P1.H3,EMS.HIGH,Y1913,2,09272016,P1,R1,1,2,EFGH,H,3,H3,H03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H03.fcs
RNR1,RNR1.P1.H4,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,H,4,H4,H04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H04.fcs
RNR1,RNR1.P1.H5,EMS.LOW,Y1913,2,09272016,P1,R1,1,2,EFGH,H,5,H5,H05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H05.fcs
RNR1,RNR1.P1.H6,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,H,6,H6,H06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H06.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,H,7,H7,H07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H07.fcs
RNR1,TDH3.SHAM.P1.H8,TDH3.SHAM,Y1139,2,09272016,P1,R1,1,2,EFGH,H,8,H8,H08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H08.fcs
RNR1,RNR1.SHAM.P1.H9,SHAM,Y1913,2,09272016,P1,R1,1,2,EFGH,H,9,H9,H09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H09.fcs
RNR1,RNR1.P1.H10,EMS,Y1913,2,09272016,P1,R1,1,2,EFGH,H,10,H10,H10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H10.fcs
RNR1,RNR1.P1.H11,EMS.HIGH,Y1913,2,09272016,P1,R1,1,2,EFGH,H,11,H11,H11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H11.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P1,R1,1,2,EFGH,H,12,H12,H12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P1R1.EFGH/Well_H12.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P2,R1,2,3,ABCD,A,1,A1,A01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A01.fcs
RNR1,RNR1.P2.A2,EMS,Y1913,2,09272016,P2,R1,2,3,ABCD,A,2,A2,A02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A02.fcs
RNR1,RNR1.P2.A3,EMS,Y1913,2,09272016,P2,R1,2,3,ABCD,A,3,A3,A03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A03.fcs
RNR1,RNR1.P2.A4,EMS.LOW,Y1913,2,09272016,P2,R1,2,3,ABCD,A,4,A4,A04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A04.fcs
RNR1,RNR1.P2.A5,EMS.HIGH,Y1913,2,09272016,P2,R1,2,3,ABCD,A,5,A5,A05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A05.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P2,R1,2,3,ABCD,A,6,A6,A06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A06.fcs
RNR1,RNR1.P2.A7,EMS,Y1913,2,09272016,P2,R1,2,3,ABCD,A,7,A7,A07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A07.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P2,R1,2,3,ABCD,A,8,A8,A08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A08.fcs
RNR1,TDH3.SHAM.P2.A9,TDH3.SHAM,Y1139,2,09272016,P2,R1,2,3,ABCD,A,9,A9,A09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A09.fcs
RNR1,RNR1.SHAM.P2.A10,SHAM,Y1913,2,09272016,P2,R1,2,3,ABCD,A,10,A10,A10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A10.fcs
RNR1,RNR1.P2.A11,EMS.HIGH,Y1913,2,09272016,P2,R1,2,3,ABCD,A,11,A11,A11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A11.fcs
RNR1,RNR1.P2.A12,EMS,Y1913,2,09272016,P2,R1,2,3,ABCD,A,12,A12,A12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_A12.fcs
RNR1,RNR1.P2.B1,EMS,Y1913,2,09272016,P2,R1,2,3,ABCD,B,1,B1,B01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B01.fcs
RNR1,TDH3.SHAM.P2.B2,TDH3.SHAM,Y1139,2,09272016,P2,R1,2,3,ABCD,B,2,B2,B02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B02.fcs
RNR1,RNR1.SHAM.P2.B3,SHAM,Y1913,2,09272016,P2,R1,2,3,ABCD,B,3,B3,B03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B03.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P2,R1,2,3,ABCD,B,4,B4,B04,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B04.fcs
RNR1,RNR1.P2.B5,EMS,Y1913,2,09272016,P2,R1,2,3,ABCD,B,5,B5,B05,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B05.fcs
RNR1,RNR1.P2.B6,EMS,Y1913,2,09272016,P2,R1,2,3,ABCD,B,6,B6,B06,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B06.fcs
RNR1,RNR1.P2.B7,EMS.LOW,Y1913,2,09272016,P2,R1,2,3,ABCD,B,7,B7,B07,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B07.fcs
RNR1,RNR1.P2.B8,EMS,Y1913,2,09272016,P2,R1,2,3,ABCD,B,8,B8,B08,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B08.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P2,R1,2,3,ABCD,B,9,B9,B09,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B09.fcs
RNR1,RNR1.P2.B10,EMS.LOW,Y1913,2,09272016,P2,R1,2,3,ABCD,B,10,B10,B10,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B10.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P2,R1,2,3,ABCD,B,11,B11,B11,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B11.fcs
RNR1,RNR1.P2.B12,EMS.HIGH,Y1913,2,09272016,P2,R1,2,3,ABCD,B,12,B12,B12,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_B12.fcs
RNR1,RNR1.P2.C1,EMS.HIGH,Y1913,2,09272016,P2,R1,2,3,ABCD,C,1,C1,C01,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_C01.fcs
RNR1,RNR1.P2.C2,EMS.HIGH,Y1913,2,09272016,P2,R1,2,3,ABCD,C,2,C2,C02,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_C02.fcs
RNR1,CTRL,CTRL,Y1913,2,09272016,P2,R1,2,3,ABCD,C,3,C3,C03,E:/wittkopp data/raw data/RNR1/Round2/RNR1-Analysis 1-P2R1.ABCD/Well_C03.fcs
